id,name,price,price_delta_season,price_delta_race,probability_price_up_percentage,probability_price_down_percentage,selection_percentage,selection_percentage_delta_season,datetime
29,N. Mazepin,5.4,-0.1,-0.1,0,5,5,0,2021-03-31 00:06:14
26,K. Raikkonen,9.6,0.0,0.0,0,85,15,0,2021-03-31 00:06:14
4,Mercedes,38.0,0.0,0.0,0,93,12,0,2021-03-31 00:06:14
3,McLaren,18.9,0.0,0.0,14,0,30,0,2021-03-31 00:06:14
6,Alpine,15.3,-0.1,-0.1,0,64,3,0,2021-03-31 00:06:14
5,Red Bull,26.0,0.1,0.1,7,0,31,1,2021-03-31 00:06:14
25,Y. Tsunoda,9.0,0.2,0.2,74,0,29,3,2021-03-31 00:06:14
19,S. Vettel,15.9,-0.3,-0.3,0,87,17,-2,2021-03-31 00:06:14
23,C. Sainz,14.4,0.0,0.0,0,37,27,0,2021-03-31 00:06:14
24,P. Gasly,11.7,0.0,0.0,85,0,43,1,2021-03-31 00:06:14
8,Alfa Romeo,8.9,0.0,0.0,1,0,1,0,2021-03-31 00:06:14
14,M. Verstappen,24.9,0.1,0.1,92,0,52,2,2021-03-31 00:06:14
22,C. Leclerc,17.1,0.3,0.3,11,0,29,2,2021-03-31 00:06:14
18,L. Stroll,13.8,-0.1,-0.1,0,8,10,-1,2021-03-31 00:06:14
2,Williams,6.3,0.0,0.0,0,17,1,0,2021-03-31 00:06:14
20,E. Ocon,9.9,-0.2,-0.2,0,9,16,-1,2021-03-31 00:06:14
17,D. Ricciardo,17.1,-0.2,-0.2,0,8,37,-2,2021-03-31 00:06:14
16,L. Norris,13.2,0.1,0.1,67,0,53,2,2021-03-31 00:06:14
15,S. Perez,18.3,-0.1,-0.1,0,0,32,0,2021-03-31 00:06:14
27,A. Giovinazzi,7.9,0.0,0.0,0,31,8,0,2021-03-31 00:06:14
30,G. Russell,6.2,0.0,0.0,0,2,42,0,2021-03-31 00:06:14
21,F. Alonso,15.5,-0.1,-0.1,0,96,13,-1,2021-03-31 00:06:14
1,Ferrari,18.2,0.1,0.1,57,0,8,0,2021-03-31 00:06:14
12,L. Hamilton,33.5,0.0,0.0,0,53,29,0,2021-03-31 00:06:14
10,Haas,6.1,0.0,0.0,0,13,1,0,2021-03-31 00:06:14
31,N. Latifi,6.5,0.0,0.0,0,34,4,0,2021-03-31 00:06:14
28,M. Schumacher,5.8,0.0,0.0,0,18,27,0,2021-03-31 00:06:14
9,Aston Martin,17.3,-0.3,-0.3,0,60,7,-1,2021-03-31 00:06:14
7,AlphaTauri,12.9,0.2,0.2,15,0,6,0,2021-03-31 00:06:14
13,V. Bottas,23.5,-0.1,-0.1,0,1,13,0,2021-03-31 00:06:14
29,N. Mazepin,5.4,-0.1,-0.1,0,5,5,0,2021-03-31 00:07:15
26,K. Raikkonen,9.6,0.0,0.0,0,85,15,0,2021-03-31 00:07:15
4,Mercedes,38.0,0.0,0.0,0,93,12,0,2021-03-31 00:07:15
3,McLaren,18.9,0.0,0.0,14,0,30,0,2021-03-31 00:07:15
6,Alpine,15.3,-0.1,-0.1,0,64,3,0,2021-03-31 00:07:15
5,Red Bull,26.0,0.1,0.1,7,0,31,1,2021-03-31 00:07:15
25,Y. Tsunoda,9.0,0.2,0.2,74,0,29,3,2021-03-31 00:07:15
19,S. Vettel,15.9,-0.3,-0.3,0,87,17,-2,2021-03-31 00:07:15
23,C. Sainz,14.4,0.0,0.0,0,37,27,0,2021-03-31 00:07:15
24,P. Gasly,11.7,0.0,0.0,85,0,43,1,2021-03-31 00:07:15
8,Alfa Romeo,8.9,0.0,0.0,1,0,1,0,2021-03-31 00:07:15
14,M. Verstappen,24.9,0.1,0.1,92,0,52,2,2021-03-31 00:07:15
22,C. Leclerc,17.1,0.3,0.3,11,0,29,2,2021-03-31 00:07:15
18,L. Stroll,13.8,-0.1,-0.1,0,8,10,-1,2021-03-31 00:07:15
2,Williams,6.3,0.0,0.0,0,17,1,0,2021-03-31 00:07:15
20,E. Ocon,9.9,-0.2,-0.2,0,9,16,-1,2021-03-31 00:07:15
17,D. Ricciardo,17.1,-0.2,-0.2,0,8,37,-2,2021-03-31 00:07:15
16,L. Norris,13.2,0.1,0.1,67,0,53,2,2021-03-31 00:07:15
15,S. Perez,18.3,-0.1,-0.1,0,0,32,0,2021-03-31 00:07:15
27,A. Giovinazzi,7.9,0.0,0.0,0,31,8,0,2021-03-31 00:07:15
30,G. Russell,6.2,0.0,0.0,0,2,42,0,2021-03-31 00:07:15
21,F. Alonso,15.5,-0.1,-0.1,0,96,13,-1,2021-03-31 00:07:15
1,Ferrari,18.2,0.1,0.1,57,0,8,0,2021-03-31 00:07:15
12,L. Hamilton,33.5,0.0,0.0,0,53,29,0,2021-03-31 00:07:15
10,Haas,6.1,0.0,0.0,0,13,1,0,2021-03-31 00:07:15
31,N. Latifi,6.5,0.0,0.0,0,34,4,0,2021-03-31 00:07:15
28,M. Schumacher,5.8,0.0,0.0,0,18,27,0,2021-03-31 00:07:15
9,Aston Martin,17.3,-0.3,-0.3,0,60,7,-1,2021-03-31 00:07:15
7,AlphaTauri,12.9,0.2,0.2,15,0,6,0,2021-03-31 00:07:15
13,V. Bottas,23.5,-0.1,-0.1,0,1,13,0,2021-03-31 00:07:15
29,N. Mazepin,5.4,-0.1,-0.1,0,5,5,0,2021-03-31 00:33:49
26,K. Raikkonen,9.6,0.0,0.0,0,85,15,0,2021-03-31 00:33:49
4,Mercedes,38.0,0.0,0.0,0,93,12,0,2021-03-31 00:33:49
